LogNumber,Date,Time,AccX,AccY,AccZ,Latitude,Longitude,Speed,PassIn,PassOut
London/25/1,09/08/2019,09:07:53 a. m.,0,0,0,0,0,0,0,0
London/25/10,09/08/2019,09:10:58 a. m.,0,0,0,51.523066,-0.038455,0,0,1
London/25/100,09/08/2019,09:38:05 a. m.,-1.206787109,-0.284667969,0.803710938,51.53375,-0.050936,30.19,0,0
London/25/101,09/08/2019,09:38:24 a. m.,-1.052978516,-0.004150391,0.284423828,51.533661,-0.050486,0,0,0
London/25/102,09/08/2019,09:38:42 a. m.,-1.143798828,-0.211425781,0.358398438,51.533592,-0.050329,7.04,0,0
London/25/103,09/08/2019,09:39:00 a. m.,-0.89453125,-0.149414063,0.336914063,51.533561,-0.05029,0,0,0
London/25/104,09/08/2019,09:39:19 a. m.,-0.890380859,-0.151123047,0.339355469,51.533559,-0.05029,0,0,0
London/25/105,09/08/2019,09:39:37 a. m.,-0.899658203,-0.132080078,0.335449219,51.533558,-0.05029,0,0,0
London/25/106,09/08/2019,09:39:55 a. m.,-0.906738281,-0.151367188,0.322998047,51.533557,-0.05029,0,0,0
London/25/107,09/08/2019,09:40:13 a. m.,-0.910400391,-0.157226563,0.335205078,51.533555,-0.050292,0,0,0
London/25/108,09/08/2019,09:40:31 a. m.,-0.943115234,-0.145263672,0.344238281,51.533555,-0.050292,0,0,0
London/25/109,09/08/2019,09:40:49 a. m.,-0.908935547,-0.149414063,0.323974609,51.533554,-0.050292,0,0,0
London/25/11,09/08/2019,09:11:18 a. m.,0,0,0,51.523066,-0.038455,0,0,2
London/25/110,09/08/2019,09:41:07 a. m.,-0.888183594,-0.154785156,0.342773438,51.533551,-0.050292,0,0,0
London/25/111,09/08/2019,09:41:25 a. m.,-0.911132813,-0.154785156,0.355957031,51.53355,-0.050292,0,0,0
London/25/112,09/08/2019,09:41:43 a. m.,-0.944335938,-0.154296875,0.338378906,51.533549,-0.050292,0,0,0
London/25/113,09/08/2019,09:42:01 a. m.,-0.970703125,-0.155273438,0.346191406,51.533549,-0.050292,0,0,0
London/25/114,09/08/2019,09:42:19 a. m.,-1.368164063,-0.095947266,0.397705078,51.533275,-0.050898,26.11,0,0
London/25/115,09/08/2019,09:42:36 a. m.,-1.370117188,-0.131591797,0.635253906,51.533173,-0.05216,15.37,0,0
London/25/116,09/08/2019,09:42:54 a. m.,-1.367919922,-0.118164063,0.493652344,51.533046,-0.053721,30.19,0,0
London/25/117,09/08/2019,09:43:12 a. m.,-1.30078125,-0.065917969,0.401123047,51.532744,-0.055331,33.15,0,0
London/25/118,09/08/2019,09:43:30 a. m.,-0.903076172,-0.100830078,0.373046875,51.53258,-0.056516,0,0,0
London/25/119,09/08/2019,09:43:48 a. m.,-0.867431641,-0.146484375,0.466796875,51.53258,-0.056515,0,0,0
London/25/12,09/08/2019,09:11:38 a. m.,0,0,0,51.523064,-0.038453,0,0,2
London/25/120,09/08/2019,09:44:06 a. m.,-1.115722656,-0.221679688,0.463378906,51.532524,-0.056888,20.93,0,0
London/25/121,09/08/2019,09:44:24 a. m.,-1.266357422,-0.068847656,0.444091797,51.53095,-0.05649,0,0,0
London/25/122,09/08/2019,09:44:42 a. m.,-1.090820313,-0.146240234,0.287841797,51.531026,-0.056382,0,0,0
London/25/123,09/08/2019,09:45:00 a. m.,-1.431152344,-0.025878906,0.320556641,51.530719,-0.057013,29.45,0,0
London/25/124,09/08/2019,09:45:18 a. m.,-1.421630859,-0.051757813,0.440673828,51.530306,-0.058182,26.3,0,0
London/25/125,09/08/2019,09:45:36 a. m.,-1.414550781,-0.091308594,0.513916016,51.529309,-0.061013,18.33,0,0
London/25/126,09/08/2019,09:45:54 a. m.,-1.492675781,-0.213623047,0.696289063,51.529044,-0.062047,27.59,0,0
London/25/127,09/08/2019,09:46:12 a. m.,-1.810058594,-0.098144531,0.767089844,51.528728,-0.063284,22.04,0,0
London/25/128,09/08/2019,09:46:30 a. m.,-1.545898438,-0.017333984,0.450683594,51.528474,-0.064794,20.93,0,0
London/25/129,09/08/2019,09:46:47 a. m.,-1.462890625,-0.090087891,0.581787109,51.527957,-0.066991,12.78,0,0
London/25/13,09/08/2019,09:11:58 a. m.,0,0,0,51.523063,-0.038452,0,0,2
London/25/130,09/08/2019,09:47:06 a. m.,-1.612548828,-0.093505859,0.717285156,51.52722,-0.066856,18.89,0,0
London/25/131,09/08/2019,09:47:23 a. m.,-1.513427734,0.120849609,0.565185547,51.52651,-0.066639,5.74,0,0
